train_loss,train_acc,test_acc,clip_test_acc
2.7745633165041608,0.2596875,0.27979166666666666,0.325
1.94206241051356,0.45729166666666665,0.29354166666666665,0.3425
1.543563517332077,0.5623958333333333,0.33166666666666667,0.41
1.2975492465496063,0.6347916666666666,0.37,0.4275
1.1052997893095016,0.6877083333333334,0.3525,0.42
0.9825563510258992,0.725625,0.386875,0.4575
0.9083728748559952,0.7465625,0.37916666666666665,0.4475
0.8359335407614708,0.7634375,0.36395833333333333,0.445
0.7759064447879791,0.7836458333333334,0.37895833333333334,0.4675
0.7230106506745021,0.79703125,0.38458333333333333,0.47
0.6808603676160176,0.8083333333333333,0.39125,0.46
0.6331523244579633,0.8233854166666666,0.38,0.45
0.6030420634150505,0.8311979166666666,0.3885416666666667,0.475
0.5731027660767237,0.8414583333333333,0.374375,0.445
0.5602195213735104,0.8447916666666667,0.36791666666666667,0.43
0.536642337590456,0.8516145833333333,0.39145833333333335,0.4725
0.5317404217024644,0.8530208333333333,0.3904166666666667,0.48
0.5055252490441005,0.859375,0.3958333333333333,0.4675
0.4806509919961294,0.86796875,0.39708333333333334,0.4775
0.4664527041216691,0.87046875,0.39625,0.4875
0.4418582351009051,0.88078125,0.39125,0.445
0.4332448357840379,0.8822916666666667,0.3975,0.46
0.4383750222623348,0.8776041666666666,0.38625,0.465
0.4082825694978237,0.8876041666666666,0.3958333333333333,0.4725
0.39777606743077437,0.89265625,0.39208333333333334,0.475
0.38556927926838397,0.89390625,0.3958333333333333,0.46
0.3756260072191556,0.898125,0.38,0.4675
0.3641500976681709,0.901875,0.38895833333333335,0.465
0.34313438589374223,0.9075,0.39416666666666667,0.475
0.34050747034450374,0.9081770833333334,0.38916666666666666,0.4675
0.33591868411749604,0.90890625,0.38916666666666666,0.455
0.32251429262260595,0.91296875,0.38729166666666665,0.47
0.3058068753282229,0.9171354166666666,0.39416666666666667,0.4625
0.29580653364459675,0.9196875,0.39729166666666665,0.4825
0.29017429610093437,0.9220833333333334,0.3825,0.47
0.28214716002345086,0.9253645833333334,0.3902083333333333,0.4675
0.27094653755426407,0.92765625,0.3927083333333333,0.485
0.2696381762747963,0.92796875,0.38416666666666666,0.455
0.26481547189255555,0.92875,0.38875,0.4625
0.25202870813508826,0.9333854166666666,0.38708333333333333,0.4625
0.24238093692809343,0.9333854166666666,0.3854166666666667,0.4425
0.24386359687894582,0.9350520833333333,0.39916666666666667,0.49
0.23596876315772533,0.935625,0.39520833333333333,0.47
0.22708057928209505,0.9392708333333334,0.3929166666666667,0.4475
0.2175048828497529,0.9410416666666667,0.38916666666666666,0.455
0.22399690533367297,0.9403125,0.383125,0.4475
0.2145744089782238,0.9420833333333334,0.39458333333333334,0.47
0.2103077743574977,0.94328125,0.38979166666666665,0.455
0.20507070075099668,0.9443229166666667,0.389375,0.4725
0.2030589888555308,0.9461458333333334,0.39458333333333334,0.465
0.19842672306733827,0.9476041666666667,0.3960416666666667,0.455
0.19863876317317286,0.9453125,0.3929166666666667,0.4525
0.19599551091901957,0.94671875,0.39916666666666667,0.475
0.19303986316236357,0.9482291666666667,0.39770833333333333,0.4675
0.19021292118976513,0.9490625,0.40208333333333335,0.4775
0.1896306854734818,0.9486979166666667,0.39395833333333335,0.4525
0.1878912671469152,0.9492708333333333,0.39645833333333336,0.4625
0.1863396690040827,0.9504166666666667,0.39458333333333334,0.4575
0.18413053852816422,0.9513020833333333,0.39458333333333334,0.4575
0.1854563909412051,0.9508333333333333,0.394375,0.4575
