epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,61.55551086425781,2.6875,22.543747863769532,4.0
2,32.173693809509274,4.0,14.23620750427246,9.0
3,19.41160160064697,6.6875,10.07977725982666,12.25
4,12.123336639404297,7.9375,6.768431053161621,16.0
5,7.724048271179199,11.75,5.03121919631958,18.0
6,5.552711935043335,15.0625,4.265164642333985,19.5
7,4.780298495292664,16.0625,3.878381595611572,19.5
8,4.207738847732544,16.6875,3.631186218261719,19.25
9,3.8356313371658324,19.6875,3.488354606628418,17.75
10,3.5823556900024416,19.5625,3.375183048248291,20.25
11,3.421433825492859,22.375,3.271785411834717,21.25
12,3.3231044244766235,22.9375,3.192733173370361,24.75
13,3.181273927688599,24.875,3.1437806510925292,26.0
14,3.138306894302368,25.9375,3.0623920249938963,25.75
15,3.0278451871871948,27.4375,2.999368314743042,29.0
16,2.8932382822036744,31.125,2.9430925750732424,30.5
17,2.817175495624542,32.375,2.8413889694213865,32.5
18,2.7079627466201783,33.875,2.8295183563232422,33.25
19,2.6579784393310546,35.3125,2.7748390865325927,33.5
20,2.592354083061218,36.375,2.7215128803253172,34.5
21,2.552594232559204,36.5,2.671736717224121,34.75
22,2.5044503521919252,37.375,2.649519386291504,36.25
23,2.4074815988540648,38.8125,2.6211429023742676,36.75
24,2.373544692993164,40.1875,2.568914613723755,39.25
25,2.311769733428955,40.6875,2.5334290504455566,40.75
26,2.2258156514167786,43.4375,2.495503931045532,40.25
27,2.2417038011550905,42.625,2.4785500240325926,42.0
28,2.1586386728286744,44.125,2.440277280807495,43.5
29,2.1009472846984862,46.6875,2.4279990005493164,43.0
30,2.052226278781891,47.625,2.3903527069091797,43.75
31,1.9813818097114564,47.625,2.342564220428467,44.25
32,1.9764681029319764,49.375,2.3260849571228026,44.25
33,1.92970534324646,49.6875,2.291679573059082,45.25
34,1.9161629891395568,49.875,2.2668238067626953,47.0
35,1.765987479686737,53.6875,2.2286670303344724,48.0
36,1.7653960132598876,54.25,2.226311740875244,48.0
37,1.7527365136146544,52.0625,2.2115658473968507,49.0
38,1.7217687559127808,54.3125,2.2048737716674807,48.5
39,1.6582151997089385,56.5,2.189184865951538,50.0
40,1.572670361995697,57.625,2.1720378303527834,50.75
41,1.6354597198963166,55.125,2.1755089473724367,48.75
42,1.5824264347553254,56.8125,2.1218609619140625,51.5
43,1.5516250467300414,57.25,2.1145314598083496,50.75
44,1.4969036948680878,58.3125,2.1103380870819093,51.75
45,1.4474041843414307,59.8125,2.1266201019287108,51.25
46,1.4481300830841064,59.625,2.098523664474487,50.75
47,1.4106616008281707,61.0,2.078986005783081,52.5
48,1.38081822514534,63.5625,2.059591588973999,51.75
49,1.3722834885120392,62.0,2.0452220821380616,52.25
50,1.3199367141723632,61.875,2.0492416858673095,51.0
