experiment,group,variant,fold,epoch,train_loss,train_acc,test_loss,test_acc,test_clip_acc
lr_0.001,learning_rate,long,1,1,7.9193981774151325,0.03673177083333334,3.7174131075541177,0.09458333333333334,0.1125
lr_0.001,learning_rate,long,1,2,3.5651032105088234,0.086796875,3.439259817202886,0.17541666666666667,0.185
lr_0.001,learning_rate,long,1,3,3.1817848533391953,0.14783854166666666,3.199903756380081,0.23854166666666668,0.2675
lr_0.001,learning_rate,long,1,4,2.8837403965493045,0.20350260416666666,3.010209242502848,0.2679166666666667,0.315
lr_0.001,learning_rate,long,1,5,2.6599216430137553,0.24850260416666667,2.883663405974706,0.29583333333333334,0.335
lr_0.001,learning_rate,long,1,6,2.484424090012908,0.29098958333333336,2.7694022059440613,0.3204166666666667,0.3775
lr_0.001,learning_rate,long,1,7,2.3439639322459698,0.32326822916666664,2.6974005003770194,0.3275,0.3725
lr_0.001,learning_rate,long,1,8,2.2147523226837316,0.35565104166666667,2.6129459142684937,0.34625,0.4
lr_0.001,learning_rate,long,1,9,2.1060111159458756,0.3833203125,2.5305491189161935,0.36041666666666666,0.4175
lr_0.001,learning_rate,long,1,10,1.993968330944578,0.411640625,2.487740953763326,0.3775,0.425
lr_0.001,learning_rate,long,1,11,1.9028635639697313,0.43701822916666666,2.4305005272229514,0.386875,0.435
lr_0.001,learning_rate,long,1,12,1.8145545301958919,0.4607161458333333,2.3767130076885223,0.3904166666666667,0.4525
lr_0.001,learning_rate,long,1,13,1.7350352477903168,0.4844140625,2.328689674536387,0.4058333333333333,0.46
lr_0.001,learning_rate,long,1,14,1.661886959336698,0.5058463541666667,2.304686854283015,0.41083333333333333,0.46
lr_0.001,learning_rate,long,1,15,1.5886205543453495,0.5265885416666667,2.261494060357412,0.4197916666666667,0.475
lr_0.001,learning_rate,long,1,16,1.5229793057466547,0.545,2.2149921357631683,0.42541666666666667,0.485
lr_0.001,learning_rate,long,1,17,1.4703757933651407,0.5599869791666666,2.1930700689554214,0.429375,0.4875
lr_0.001,learning_rate,long,1,18,1.4148521966611345,0.5734114583333333,2.1564415047566095,0.433125,0.5
lr_0.001,learning_rate,long,1,19,1.3628994325796764,0.58828125,2.1340964436531067,0.4352083333333333,0.49
lr_0.001,learning_rate,long,1,20,1.3060514191165566,0.6057682291666666,2.1166914651791253,0.426875,0.48
lr_0.001,learning_rate,long,1,21,1.2664346766347687,0.6169661458333333,2.09802475074927,0.4370833333333333,0.485
lr_0.001,learning_rate,long,1,22,1.2242170050740242,0.6322265625,2.070284212629,0.45229166666666665,0.5075
lr_0.001,learning_rate,long,1,23,1.180433104125162,0.6427213541666666,2.063529223203659,0.446875,0.515
lr_0.001,learning_rate,long,1,24,1.142132700420916,0.6554296875,2.036943996946017,0.45416666666666666,0.525
lr_0.001,learning_rate,long,1,25,1.104690014384687,0.6637369791666666,2.031960348288218,0.45166666666666666,0.5125
lr_0.001,learning_rate,long,1,26,1.0670837064584096,0.6787369791666666,2.0209425389766693,0.4554166666666667,0.5225
lr_0.001,learning_rate,long,1,27,1.0331299748892586,0.6855859375,2.012878214319547,0.459375,0.52
lr_0.001,learning_rate,long,1,28,1.0096585044326882,0.6936458333333333,1.9829842100540798,0.466875,0.525
lr_0.001,learning_rate,long,1,29,0.9746801371996602,0.7034635416666667,1.971056193113327,0.47125,0.545
lr_0.001,learning_rate,long,1,30,0.9454079689458013,0.7125390625,1.9826856354872386,0.4735416666666667,0.55
lr_0.001,learning_rate,long,1,31,0.9206541565557321,0.7208333333333333,1.9699141681194305,0.47458333333333336,0.5475
lr_0.001,learning_rate,long,1,32,0.8915115327884754,0.7284505208333333,1.9590317408243816,0.48020833333333335,0.555
lr_0.001,learning_rate,long,1,33,0.8674233833638331,0.7345703125,1.9538962294658024,0.488125,0.56
lr_0.001,learning_rate,long,1,34,0.847001549632599,0.7401302083333333,1.9501913487911224,0.485,0.57
lr_0.001,learning_rate,long,1,35,0.8232756631138424,0.7485807291666666,1.9482873777548473,0.4875,0.5625
lr_0.001,learning_rate,long,1,36,0.8004017837035159,0.7539192708333333,1.9122109164794285,0.495,0.5775
lr_0.001,learning_rate,long,1,37,0.778299279200534,0.7626692708333334,1.9452940672636032,0.49270833333333336,0.57
lr_0.001,learning_rate,long,1,38,0.7617089684742192,0.7667317708333333,1.9163635422786076,0.49125,0.5575
lr_0.001,learning_rate,long,1,39,0.7452081674709916,0.7707552083333333,1.9225346893072128,0.4925,0.5725
lr_0.001,learning_rate,long,1,40,0.7260255555932721,0.7772916666666667,1.9228022197882335,0.49833333333333335,0.585
lr_0.001,learning_rate,long,1,41,0.7119897779387733,0.780625,1.918339803814888,0.49354166666666666,0.585
lr_0.001,learning_rate,long,1,42,0.690353273258855,0.7873567708333333,1.9104083875815074,0.5033333333333333,0.575
lr_0.001,learning_rate,long,1,43,0.6753690992482007,0.7925911458333333,1.9318776726722717,0.5008333333333334,0.59
lr_0.001,learning_rate,long,1,44,0.6617944349224368,0.7976953125,1.900303026040395,0.4975,0.5825
lr_0.001,learning_rate,long,1,45,0.6441900435214242,0.8032942708333334,1.913554236292839,0.505,0.5925
lr_0.001,learning_rate,long,1,46,0.6328583291421334,0.8056770833333333,1.8998637696107228,0.5033333333333333,0.5925
