train_loss,train_acc,test_acc,clip_test_acc
2.72780792872111,0.25947916666666665,0.228125,0.2475
2.05645316084226,0.40765625,0.2997916666666667,0.34
1.671029342810313,0.5209375,0.339375,0.4075
1.4271901041269301,0.5872395833333334,0.369375,0.4275
1.208755406141281,0.64671875,0.36,0.4275
1.0614450850089392,0.6861458333333333,0.37875,0.485
0.9397841846942901,0.7240104166666667,0.37604166666666666,0.4625
0.8543595286210378,0.7492708333333333,0.36270833333333335,0.445
0.796275696059068,0.7642708333333333,0.3797916666666667,0.48
0.7408439081907272,0.7834895833333333,0.42,0.51
0.6664315646886826,0.8047395833333333,0.3825,0.4475
0.6461955612897873,0.8102604166666667,0.388125,0.47
0.5783816783626874,0.8341145833333333,0.37041666666666667,0.465
0.5558486676216126,0.83921875,0.3802083333333333,0.465
0.5372655664384365,0.8436979166666667,0.395,0.4925
0.4900683592259884,0.8559375,0.38729166666666665,0.4625
0.4756317561864853,0.86234375,0.37854166666666667,0.445
0.4672362807393074,0.8661979166666667,0.41291666666666665,0.5
0.4317445482810338,0.87671875,0.38875,0.475
0.41778405497471494,0.8797916666666666,0.38145833333333334,0.47
0.39672850623726846,0.8861458333333333,0.3770833333333333,0.46
0.3851777005195618,0.8908333333333334,0.403125,0.5
0.3682724780589342,0.8945833333333333,0.4041666666666667,0.5075
0.36054195250074067,0.8966666666666666,0.38645833333333335,0.4525
0.34128438708682857,0.9028645833333333,0.385,0.475
0.3357482937226693,0.9052604166666667,0.394375,0.4525
0.3227624566853046,0.9095833333333333,0.39375,0.4925
0.30503774784505366,0.9143229166666667,0.398125,0.485
0.30807313583791257,0.9127604166666666,0.3933333333333333,0.455
0.29973539082954326,0.9148958333333334,0.40125,0.475
0.29002728920429943,0.9171354166666666,0.3983333333333333,0.4675
0.27939174629747865,0.9213020833333333,0.41,0.48
0.26101876273751257,0.9274479166666667,0.41020833333333334,0.4875
0.25607174217700956,0.9286458333333333,0.389375,0.49
0.243347369308273,0.9310416666666667,0.395,0.475
0.2384531241096556,0.9322916666666666,0.4091666666666667,0.495
0.23288127201919753,0.93453125,0.41020833333333334,0.475
0.22513690523182353,0.9366666666666666,0.41020833333333334,0.49
0.21860013366987308,0.93703125,0.401875,0.4825
0.20997509209283938,0.9408854166666667,0.4222916666666667,0.515
0.20612250921937328,0.9423958333333333,0.4091666666666667,0.51
0.20017444966360926,0.9446875,0.41458333333333336,0.505
0.1935990577431706,0.9453125,0.42625,0.51
0.19003178541858992,0.9458333333333333,0.415625,0.4725
0.18795331340283156,0.94625,0.41,0.4575
0.1866653094611441,0.9466666666666667,0.4114583333333333,0.495
0.1819570959173143,0.9477604166666667,0.41604166666666664,0.4925
0.178089486680304,0.9492708333333333,0.4014583333333333,0.47
0.1723585745956128,0.9508333333333333,0.40520833333333334,0.4775
0.17201537564396857,0.951875,0.415625,0.4975
0.16853420295131702,0.9516666666666667,0.4083333333333333,0.4825
0.16579631263623015,0.9536979166666667,0.4091666666666667,0.4875
0.16333964777023843,0.9533854166666667,0.40979166666666667,0.4925
0.1605410030980905,0.9558854166666667,0.41479166666666667,0.4875
0.15823194895948595,0.955625,0.41729166666666667,0.495
0.155191606071312,0.95546875,0.415,0.4875
0.15538162124032776,0.9560416666666667,0.4166666666666667,0.495
0.15466895829653368,0.9565625,0.41604166666666664,0.485
0.1517335522112747,0.9574479166666666,0.4164583333333333,0.485
0.1533946127219436,0.95703125,0.416875,0.4875
