train_loss,train_acc,test_acc,clip_test_acc
2.5240055652459463,0.33421875,0.3514583333333333,0.4075
1.78852885166804,0.5130729166666667,0.39520833333333333,0.4425
1.4875004720687866,0.5929166666666666,0.39708333333333334,0.4575
1.280443997780482,0.6519270833333334,0.43833333333333335,0.505
1.1350834474960962,0.69109375,0.435,0.4925
1.0507278217871985,0.7172916666666667,0.40791666666666665,0.4725
0.9719968543450037,0.7368229166666667,0.42520833333333335,0.4925
0.902465856273969,0.75671875,0.43895833333333334,0.5025
0.8423174744844437,0.7758854166666667,0.4354166666666667,0.5
0.7973650109767914,0.7873958333333333,0.4404166666666667,0.51
0.7409584899743398,0.80015625,0.43604166666666666,0.5125
0.7042366847395897,0.8133333333333334,0.4320833333333333,0.5075
0.6901582345366478,0.8135416666666667,0.4397916666666667,0.4975
0.6562372882167499,0.8230208333333333,0.430625,0.505
0.6155099161465962,0.8378125,0.446875,0.52
0.5945847023526828,0.84234375,0.46229166666666666,0.5375
0.5782160057127476,0.8486458333333333,0.44666666666666666,0.5175
0.5601986057559649,0.8531770833333333,0.45479166666666665,0.52
0.5414793943862121,0.8585416666666666,0.4579166666666667,0.5325
0.5224841080605984,0.86390625,0.4635416666666667,0.53
0.4990284449358781,0.8690104166666667,0.466875,0.535
0.48130364606777826,0.8761458333333333,0.45145833333333335,0.5175
0.471201848834753,0.8799479166666667,0.465,0.525
0.46495838766296704,0.8799479166666667,0.46229166666666666,0.5375
0.4540882493555546,0.8822395833333333,0.45645833333333335,0.5275
0.435736470669508,0.8878125,0.46375,0.525
0.42255334521333376,0.8914583333333334,0.47375,0.545
0.41645312666893003,0.8948958333333333,0.4775,0.54
0.40948766767978667,0.8956770833333333,0.47708333333333336,0.555
0.4015896810591221,0.89703125,0.46479166666666666,0.5375
0.3912701162199179,0.9000520833333333,0.47375,0.5475
0.3758981538315614,0.9052604166666667,0.4766666666666667,0.525
0.3690695121884346,0.90671875,0.47770833333333335,0.5425
0.3572654840350151,0.909375,0.46375,0.5475
0.35061744359632335,0.9116145833333333,0.4766666666666667,0.5275
0.33905807954569656,0.9158854166666667,0.48791666666666667,0.545
0.32887456998229025,0.9183333333333333,0.48604166666666665,0.55
0.3191515943656365,0.9213020833333333,0.480625,0.555
0.3124798142413298,0.92125,0.490625,0.555
0.3049394656717777,0.92421875,0.483125,0.54
0.2966769813497861,0.9270833333333334,0.49333333333333335,0.5475
0.286861970325311,0.9306770833333333,0.48541666666666666,0.5375
0.28434069416175284,0.9286979166666667,0.49645833333333333,0.56
0.27936331890523436,0.9294791666666666,0.48270833333333335,0.5425
0.2719949726263682,0.9325520833333333,0.48125,0.5525
0.2667055538793405,0.93515625,0.4816666666666667,0.545
0.26346310491363206,0.9339583333333333,0.4870833333333333,0.5525
0.2610059694200754,0.9350520833333333,0.49416666666666664,0.565
0.25858553682764374,0.9361458333333333,0.49270833333333336,0.5575
0.25084006850918134,0.9381770833333334,0.49291666666666667,0.5525
0.2499867832660675,0.936875,0.49916666666666665,0.56
0.24739988215267658,0.9389583333333333,0.49541666666666667,0.56
0.24371158512930075,0.94,0.4970833333333333,0.5575
0.24037237758437793,0.9415104166666667,0.49854166666666666,0.56
0.23703071240335702,0.9425520833333333,0.5008333333333334,0.5525
0.23625041325887045,0.94140625,0.5,0.5575
0.23669590660681328,0.9426041666666667,0.495,0.555
0.23597260140503445,0.9430208333333333,0.49604166666666666,0.555
0.23486843541264535,0.9428645833333333,0.495625,0.545
0.2344195343616108,0.9440625,0.4952083333333333,0.5475
