train_loss,train_acc,test_acc,clip_test_acc
2.46009224653244,0.3346354166666667,0.288125,0.3375
1.668213271299998,0.52390625,0.36125,0.415
1.3240924962361653,0.6171875,0.36083333333333334,0.425
1.091050162911415,0.6846875,0.3770833333333333,0.445
0.9224919027090073,0.73625,0.3904166666666667,0.4875
0.820976810057958,0.7649479166666666,0.38166666666666665,0.4425
0.7577018743753433,0.7806770833333333,0.41604166666666664,0.495
0.6789214254419009,0.8005208333333333,0.38104166666666667,0.4675
0.6382891728480657,0.8159375,0.424375,0.49
0.6023731035987536,0.8263541666666666,0.39666666666666667,0.48
0.5815162815650304,0.8335416666666666,0.3929166666666667,0.4775
0.5491332689424356,0.8420833333333333,0.3935416666666667,0.4575
0.5175856519738833,0.85140625,0.39395833333333335,0.4875
0.49483564068873725,0.8597395833333333,0.3904166666666667,0.475
0.4766011364758015,0.8618229166666667,0.39125,0.47
0.4540933461487293,0.8701041666666667,0.406875,0.475
0.4417224587996801,0.8763020833333334,0.41354166666666664,0.4875
0.4085481318334738,0.8855208333333333,0.4110416666666667,0.4775
0.3958210248251756,0.8840104166666667,0.396875,0.47
0.38870931148529053,0.8889583333333333,0.404375,0.4825
0.38815174241860706,0.8891666666666667,0.38875,0.4625
0.3660968391845624,0.8966145833333333,0.3929166666666667,0.475
0.35423312212030095,0.9001041666666667,0.3960416666666667,0.465
0.3482403394579887,0.90015625,0.38895833333333335,0.4725
0.34692580928405126,0.9014583333333334,0.37875,0.4525
0.3375771836191416,0.9059895833333333,0.38375,0.465
0.32759416644771894,0.9074479166666667,0.40708333333333335,0.5
0.3171648092567921,0.9107291666666667,0.39916666666666667,0.4625
0.3017962165673574,0.9147395833333334,0.406875,0.4775
0.28461301755160096,0.9211979166666666,0.42083333333333334,0.49
0.2850939022998015,0.9208333333333333,0.39625,0.4675
0.2751937617609898,0.9218229166666667,0.395625,0.4775
0.27221254361172514,0.9241145833333333,0.395,0.4675
0.254349177206556,0.9288541666666666,0.4064583333333333,0.4925
0.2504000543989241,0.92859375,0.415,0.5
0.24140556421130896,0.9311458333333333,0.41854166666666665,0.4875
0.23721606281896432,0.93359375,0.41479166666666667,0.4975
0.23283271410192052,0.9344791666666666,0.41291666666666665,0.4775
0.2236867945144574,0.9369791666666667,0.433125,0.525
0.21388545027623573,0.94046875,0.41479166666666667,0.485
0.21455913364266355,0.9403645833333333,0.40520833333333334,0.48
0.2137779886027177,0.94078125,0.4041666666666667,0.4675
0.2057366837700829,0.9424479166666667,0.40291666666666665,0.4675
0.19718370557762682,0.9444791666666666,0.40520833333333334,0.4675
0.19474406056726973,0.9446354166666666,0.41291666666666665,0.485
0.19068017304409296,0.9456770833333333,0.41291666666666665,0.475
0.18723547288759923,0.9469791666666667,0.41333333333333333,0.49
0.18225602339021862,0.9479166666666666,0.41,0.485
0.1772823541681282,0.9490104166666666,0.416875,0.5025
0.17796821215345213,0.9494270833333334,0.41333333333333333,0.4875
0.1737898050714284,0.95078125,0.4164583333333333,0.495
0.17037625330034645,0.9505208333333334,0.41333333333333333,0.485
0.16918534571227306,0.95078125,0.41375,0.4775
0.1672737150437509,0.9514583333333333,0.41625,0.49
0.1660307223512791,0.9521354166666667,0.415,0.485
0.16708896729707098,0.9520833333333333,0.41479166666666667,0.4825
0.16398563018689552,0.95359375,0.42041666666666666,0.49
0.1622052492465203,0.9536979166666667,0.42104166666666665,0.49
0.1620470954858077,0.9533854166666667,0.42041666666666666,0.49
0.16164990061506007,0.9540104166666666,0.42041666666666666,0.49
