epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,3.181854557991028,39.3125,2.1310292291641235,60.25
2,1.744061872959137,62.8125,1.3089947748184203,71.0
3,1.250502325296402,70.0,1.0094256401062012,75.5
4,1.0496870803833007,73.0,0.9164435720443725,77.5
5,0.9155445504188537,76.125,0.8357993054389954,76.5
6,0.8756088948249817,77.8125,0.8283989572525025,78.0
7,0.8067915618419648,78.625,0.7668858289718627,79.25
8,0.7433426570892334,80.125,0.7413284850120544,80.25
9,0.6897208309173584,81.875,0.7438652610778809,78.5
10,0.6837255692481995,82.125,0.6997968006134033,80.5
11,0.6474546271562577,82.6875,0.7249151349067688,79.75
12,0.6132950916886329,82.75,0.7195027828216553,80.5
13,0.6366562616825103,82.5625,0.7355638289451599,80.0
14,0.5738132816553115,83.25,0.7430930352210998,79.25
15,0.5517730909585953,84.6875,0.694869704246521,80.25
16,0.5109172371029854,85.875,0.7353302001953125,80.25
17,0.5100360879302025,84.625,0.6860990333557129,82.5
18,0.4763523617386818,86.8125,0.7354527783393859,80.0
19,0.47466895282268523,86.75,0.6819218981266022,81.5
20,0.4480144155025482,87.8125,0.724543342590332,82.0
21,0.43328863084316255,87.375,0.6996137201786041,81.25
22,0.4328104901313782,87.625,0.6934305834770202,80.75
23,0.4205046917498112,88.6875,0.6949750590324402,80.75
24,0.4082695832848549,88.4375,0.7201023244857788,82.0
25,0.39479930520057677,89.0,0.7020994186401367,82.25
26,0.39320856347680094,89.0625,0.6914669966697693,84.0
27,0.3565919806063175,89.9375,0.7035807061195374,80.25
28,0.3697464860975742,90.125,0.7442167496681213,79.75
29,0.38060213848948476,88.5,0.712331953048706,81.75
30,0.35700969509780406,90.4375,0.7265472412109375,82.0
31,0.35155850037932396,89.5,0.744939626455307,79.75
32,0.34462608367204667,89.5,0.7250344932079316,81.75
33,0.3330411970615387,90.8125,0.7192678570747375,83.25
34,0.32156405225396156,91.0,0.7532977056503296,82.25
35,0.30921977818012236,90.625,0.7473668229579925,81.75
36,0.3195075561106205,91.6875,0.7433620119094848,84.25
37,0.316742372661829,91.4375,0.786283427476883,80.75
38,0.31137694098055363,90.8125,0.7427513945102692,81.0
39,0.31753718689084054,90.9375,0.7485719919204712,83.75
40,0.30434523209929465,90.75,0.7367252492904663,84.0
41,0.2498575283959508,92.4375,0.7364321827888489,83.75
42,0.2711249850690365,92.75,0.7662445497512818,83.75
43,0.2851524440944195,91.5625,0.7909839570522308,79.75
44,0.315577502772212,90.6875,0.8126530861854553,80.75
45,0.2930643210560083,91.375,0.7875257837772369,81.75
46,0.270959234200418,92.0,0.8068016636371612,82.25
47,0.26028570026159287,92.3125,0.7493925452232361,84.25
48,0.2597601802274585,91.9375,0.7627563548088073,83.75
49,0.23792620241641999,93.25,0.7719097173213959,84.0
50,0.26569620095193386,92.3125,0.7555909180641174,83.25
