train_loss,train_acc,test_acc,clip_test_acc
3.0801218914985657,0.19770833333333335,0.2475,0.29
2.303053556283315,0.3763020833333333,0.34375,0.4025
1.9559182592233022,0.46567708333333335,0.34625,0.415
1.7094022246201832,0.5296875,0.37125,0.45
1.5670912539958954,0.5669270833333333,0.371875,0.46
1.4422771447896958,0.6008854166666666,0.38458333333333333,0.465
1.3791789990663528,0.6190104166666667,0.40770833333333334,0.48
1.2582889912525812,0.6585416666666667,0.398125,0.49
1.2220982557535172,0.6650520833333333,0.39479166666666665,0.4775
1.138059259057045,0.6859375,0.4222916666666667,0.5225
1.0767233556509017,0.7030729166666667,0.41375,0.4925
1.034823618332545,0.71640625,0.42291666666666666,0.505
0.9851178630193075,0.7305208333333333,0.4175,0.5075
0.9391044372320175,0.74171875,0.44416666666666665,0.5225
0.9060740482807159,0.7521875,0.4272916666666667,0.5
0.8893273284037908,0.75609375,0.42333333333333334,0.4875
0.87017726957798,0.7627083333333333,0.4266666666666667,0.5125
0.8289894781510035,0.77390625,0.4475,0.5425
0.7983094098170599,0.783125,0.4297916666666667,0.485
0.7724359876910846,0.7910416666666666,0.4327083333333333,0.4925
0.7589883344372114,0.79765625,0.4320833333333333,0.505
0.7355081143975258,0.801875,0.43083333333333335,0.5175
0.7026229125261306,0.8113020833333333,0.439375,0.525
0.676353911558787,0.8171875,0.45145833333333335,0.5225
0.6572470862666766,0.8223958333333333,0.45770833333333333,0.55
0.6441730082035064,0.82703125,0.45,0.5125
0.6187653053800265,0.835,0.458125,0.53
0.5982214021682739,0.84140625,0.44666666666666666,0.5125
0.5832072981198628,0.8459375,0.44458333333333333,0.515
0.5638399017850558,0.8525520833333333,0.4504166666666667,0.51
0.5524903175234794,0.8554166666666667,0.44666666666666666,0.5225
0.5339461425940196,0.8592708333333333,0.44604166666666667,0.5175
0.5172543705503145,0.8640625,0.45,0.54
0.5118925127883752,0.8675520833333333,0.4529166666666667,0.5225
0.4935808581113815,0.8708333333333333,0.46020833333333333,0.52
0.4878633873164654,0.8730208333333334,0.468125,0.5475
0.47397773250937464,0.87796875,0.4554166666666667,0.54
0.4581019634505113,0.8828125,0.4610416666666667,0.52
0.44844387968381244,0.88375,0.46479166666666666,0.545
0.4387544073661168,0.88921875,0.46375,0.54
0.42569800426562626,0.8932291666666666,0.4639583333333333,0.54
0.41650428677598633,0.8945833333333333,0.4585416666666667,0.5325
0.4110520664850871,0.8969270833333334,0.46729166666666666,0.5525
0.4011653945346673,0.8992708333333334,0.4660416666666667,0.54
0.3996989235281944,0.9,0.461875,0.53
0.3913671780625979,0.90046875,0.468125,0.55
0.38317742228507995,0.90390625,0.4685416666666667,0.55
0.37748733843366306,0.9053645833333334,0.46208333333333335,0.5425
0.3698161931335926,0.90703125,0.4735416666666667,0.5425
0.3656960193812847,0.91078125,0.46708333333333335,0.5375
0.36328148797154425,0.9103645833333334,0.4666666666666667,0.54
0.35787326239049433,0.9126041666666667,0.46791666666666665,0.5375
0.3552843142549197,0.9132291666666666,0.46520833333333333,0.5425
0.35477378432949386,0.9128125,0.471875,0.54
0.34990156908830006,0.9141666666666667,0.46729166666666666,0.5375
0.34788050696253775,0.9169791666666667,0.464375,0.535
0.34784746376176673,0.91671875,0.4666666666666667,0.54
0.3445934778948625,0.91515625,0.46791666666666665,0.5425
0.3457512090106805,0.9151041666666667,0.46791666666666665,0.54
0.34572028540074823,0.9144270833333333,0.4675,0.54
