train_loss,train_acc,test_acc,clip_test_acc
2.8959931320614283,0.22319444444444445,0.21805555555555556,0.265
2.315844417148166,0.35520833333333335,0.28194444444444444,0.3575
2.039204190042284,0.42770833333333336,0.2791666666666667,0.345
1.8260741758346557,0.48131944444444447,0.32083333333333336,0.43
1.6630592658784655,0.5225,0.3397222222222222,0.4825
1.5126372872458564,0.5665277777777777,0.34833333333333333,0.4725
1.4156626518567403,0.5911805555555556,0.3547222222222222,0.5025
1.3245300449265374,0.6159722222222223,0.35138888888888886,0.505
1.2504574134614732,0.6419444444444444,0.34805555555555556,0.495
1.1666460182931688,0.6619444444444444,0.3863888888888889,0.5475
1.0867364939053854,0.6856944444444445,0.3552777777777778,0.485
1.0482830781406827,0.6966666666666667,0.37277777777777776,0.5325
0.9852945367495219,0.7177777777777777,0.37444444444444447,0.5025
0.9635156623522441,0.7201388888888889,0.3811111111111111,0.53
0.9219516698519389,0.7368055555555556,0.3869444444444444,0.5175
0.8849518730905321,0.7450694444444445,0.37305555555555553,0.5175
0.8541887895266215,0.755,0.38416666666666666,0.515
0.8344210900200738,0.7622222222222222,0.38472222222222224,0.51
0.807735846042633,0.7699305555555556,0.3763888888888889,0.505
0.776777818467882,0.776875,0.39694444444444443,0.5075
0.7340229139063094,0.7935416666666667,0.39194444444444443,0.5425
0.7187274629539914,0.7966666666666666,0.3852777777777778,0.5225
0.6898887407779694,0.8059027777777777,0.38972222222222225,0.5025
0.6732366561889649,0.8095833333333333,0.3775,0.5075
0.6528650995095571,0.8143055555555555,0.37583333333333335,0.525
0.6352614977624681,0.8224305555555556,0.39444444444444443,0.5125
0.6189713621139527,0.825,0.3933333333333333,0.54
0.6011014148924085,0.8325,0.37805555555555553,0.5175
0.5778525270356072,0.8356944444444444,0.38305555555555554,0.505
0.5672197396225399,0.8420833333333333,0.3844444444444444,0.525
0.5526802200741238,0.8446527777777778,0.39444444444444443,0.5175
0.5265679072009193,0.8535416666666666,0.38972222222222225,0.5225
0.5255006504058838,0.8540277777777778,0.3877777777777778,0.5
0.49630120522446103,0.8618055555555556,0.3825,0.5275
0.48505309634738497,0.8642361111111111,0.38305555555555554,0.505
0.47304044167200726,0.8697916666666666,0.38333333333333336,0.51
0.4680130731728342,0.8678472222222222,0.3927777777777778,0.505
0.448498930533727,0.8761805555555555,0.3877777777777778,0.5075
0.4328430997663074,0.8802777777777778,0.3963888888888889,0.52
0.41500365999009875,0.8870833333333333,0.3888888888888889,0.5175
0.408413532839881,0.8879166666666667,0.3952777777777778,0.5225
0.39319547828700807,0.8914583333333334,0.39805555555555555,0.5175
0.3817704429891374,0.8959027777777778,0.3908333333333333,0.53
0.3730374140209622,0.8986111111111111,0.4033333333333333,0.535
0.36086347851488326,0.9021527777777778,0.40055555555555555,0.515
0.35412149492237305,0.9029861111111112,0.4083333333333333,0.5425
0.3391116218103303,0.9081944444444444,0.4066666666666667,0.53
0.33492861439784366,0.9085416666666667,0.40694444444444444,0.5375
0.3257310290469064,0.9121527777777778,0.4075,0.5325
0.31974870070815087,0.9130555555555555,0.40805555555555556,0.53
0.3181776656375991,0.9151388888888888,0.4013888888888889,0.555
0.31333191378249065,0.9161805555555556,0.4122222222222222,0.535
0.3108015631139278,0.9152777777777777,0.4038888888888889,0.5475
0.3080148195558124,0.9168055555555555,0.4061111111111111,0.5225
0.3024761620660623,0.9182638888888889,0.41194444444444445,0.5475
0.2994605386588309,0.9188888888888889,0.4088888888888889,0.5375
0.2976563995083173,0.91875,0.4077777777777778,0.5325
0.2981046489212248,0.9177777777777778,0.4086111111111111,0.54
0.297080664055215,0.9177777777777778,0.41083333333333333,0.5375
0.2984140744639768,0.9189583333333333,0.4091666666666667,0.5375
