epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,3.789354462623596,15.25,3.6743990325927736,36.5
2,3.526479597091675,46.1875,3.4335936546325683,51.25
3,3.249766821861267,56.0625,3.1502543926239013,57.25
4,2.944422039985657,59.5,2.848627586364746,59.5
5,2.643502616882324,63.3125,2.5631227111816406,59.75
6,2.3667178750038147,65.3125,2.3018375205993653,63.75
7,2.126991558074951,68.0625,2.0825524616241453,65.5
8,1.9249486565589904,69.5,1.910666551589966,66.75
9,1.7506989240646362,71.75,1.7585700273513794,69.75
10,1.6089430356025696,74.1875,1.6213091659545897,71.5
11,1.4889827251434327,74.9375,1.5051974058151245,75.5
12,1.3820082592964171,76.375,1.4178519678115844,78.0
13,1.283716663122177,78.8125,1.3330252170562744,77.5
14,1.2069893336296083,79.3125,1.2627513647079467,79.0
15,1.142659193277359,80.0,1.2073631381988525,80.25
16,1.0818168830871582,81.5625,1.1415406680107116,80.75
17,1.0241296339035033,81.875,1.0949424982070923,81.75
18,0.9720421457290649,82.375,1.0638266563415528,81.25
19,0.934510680437088,83.3125,1.020064079761505,82.5
20,0.8865971100330353,85.1875,0.9835264825820923,83.0
21,0.8534934175014496,84.625,0.9572370648384094,82.25
22,0.820565915107727,85.5625,0.9207460308074951,84.0
23,0.7895182013511658,85.0625,0.8933930158615112,83.5
24,0.7590885508060455,86.25,0.8754609394073486,85.25
25,0.7340332561731339,86.8125,0.8555660438537598,84.75
26,0.7143337726593018,86.0625,0.8412185263633728,84.0
27,0.6930701100826263,87.1875,0.8231983685493469,85.0
28,0.6669944906234742,86.875,0.7987915730476379,84.75
29,0.6490276038646698,86.9375,0.7874001789093018,84.0
30,0.6340720319747924,87.6875,0.7764455842971801,85.25
31,0.6161708652973175,88.0,0.7579432761669159,85.5
32,0.5936466556787491,88.3125,0.7473424804210663,85.25
33,0.5839252901077271,88.4375,0.7340904307365418,84.75
34,0.5697604155540467,88.5625,0.7283216452598572,85.75
35,0.5507774037122727,89.625,0.715238242149353,85.75
36,0.5415684580802917,89.0,0.7061840486526489,86.5
37,0.5258799505233764,89.375,0.693358097076416,85.5
38,0.5144612258672714,89.9375,0.6844668674468994,86.0
39,0.5028080821037293,90.0625,0.6743019890785217,86.0
40,0.4902267810702324,90.0625,0.6717440271377564,86.0
41,0.48243710219860075,90.0625,0.6677354001998901,86.25
42,0.46768774330616,90.0,0.6609659278392792,86.25
43,0.4602218425273895,90.625,0.6547933149337769,86.75
44,0.449834880232811,91.25,0.6477184987068176,86.5
45,0.4426903343200684,90.3125,0.6393511831760407,85.5
46,0.43307184278964994,91.0625,0.633410747051239,87.0
47,0.423399575650692,91.25,0.6275997126102447,86.5
48,0.4213214072585106,91.4375,0.6209661519527435,86.75
49,0.4116453891992569,90.9375,0.6175382328033447,86.75
50,0.39724684447050096,91.5625,0.6159021520614624,87.25
