epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,2.907799723148346,44.375,1.7746634769439698,68.75
2,1.2587553751468659,74.875,1.0282411909103393,78.0
3,0.7924418532848359,82.625,0.7935612952709198,82.25
4,0.5956726336479187,87.5625,0.7123508167266845,84.75
5,0.4797103726863861,87.9375,0.6503063416481019,86.0
6,0.409287551343441,90.625,0.599611097574234,86.5
7,0.3603148600459099,91.5,0.5634452986717224,86.25
8,0.31234112694859506,92.5,0.5774677312374115,86.0
9,0.28359525591135026,92.3125,0.5671073985099793,85.5
10,0.26087550789117814,93.0,0.5836438715457917,86.25
11,0.2331373369693756,94.25,0.5539865717291832,86.75
12,0.2036613854765892,95.4375,0.5280743971467018,87.25
13,0.18641332879662514,95.3125,0.5502364230155945,87.75
14,0.1766754475235939,96.0,0.5804316344857215,86.25
15,0.16769067607820035,95.9375,0.5372599631547927,87.75
16,0.14418587572872638,97.125,0.5744805094599724,87.0
17,0.13534572023898364,96.9375,0.5527236552536487,87.5
18,0.12970119573175906,96.8125,0.5788579624891281,87.75
19,0.11569084733724594,98.125,0.5646918201446534,87.75
20,0.10842832531780004,97.9375,0.5760987934470176,87.25
21,0.09902775852009654,98.3125,0.5594115409255028,87.25
22,0.09638088811188936,98.0625,0.5806705658137798,88.0
23,0.08791509427130223,98.6875,0.5755752302706242,88.25
24,0.07866631716489791,99.0,0.6017861156910658,88.5
25,0.07475794814527034,98.8125,0.6334168334305287,86.75
26,0.07734738491475582,98.4375,0.5998591120541096,88.5
27,0.0688068812713027,98.75,0.6331333030760288,86.5
28,0.062315430771559474,99.3125,0.6179026137292385,88.75
29,0.060802234709262847,99.375,0.617002227269113,88.5
30,0.06456051863729954,98.9375,0.6242454092949629,87.25
31,0.05977904221042991,99.0625,0.6306180443242192,87.25
32,0.05176736870780587,99.1875,0.6064732722938061,88.25
33,0.0457424237858504,99.5625,0.6544180255383253,88.5
34,0.04280188610777259,99.6875,0.6317165030911565,88.25
35,0.040432955655269325,99.625,0.6568877844884992,88.25
36,0.04328161804005504,99.25,0.6335632749646902,89.25
37,0.03660729224793613,99.75,0.6514758782461285,87.5
38,0.03820335156749934,99.5,0.6390456544049085,88.0
39,0.03355686271563172,99.625,0.679680494852364,88.25
40,0.03314998727291822,99.625,0.6691228220611811,88.25
41,0.028591354228556156,99.6875,0.6444545976445079,89.0
42,0.027149137249216436,99.8125,0.6972021542489528,88.25
43,0.025868088183924557,99.75,0.6750842873379588,88.5
44,0.024916108585894107,99.875,0.7103922532871365,88.25
45,0.02683250847971067,99.5,0.6903126167878508,87.25
46,0.02448079986963421,99.8125,0.6731794531270862,88.25
47,0.023260021107271312,99.875,0.6948933558911086,88.0
48,0.024308261158876122,99.8125,0.7072972589265555,89.0
49,0.020508873034268616,99.8125,0.71682274248451,88.75
50,0.021645157802850007,99.8125,0.7065877221152186,88.5
