epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,38.80270793914795,1.875,20.190476837158204,4.25
2,23.448834266662598,4.5625,14.785681686401368,6.75
3,17.888430252075196,7.8125,11.103094367980956,14.0
4,13.535547981262207,11.875,8.586535415649415,18.75
5,10.451371383666991,17.5625,7.019508590698242,25.75
6,8.201436882019044,22.125,5.861985301971435,27.25
7,6.371197109222412,28.875,5.0194847297668455,32.0
8,5.376489062309265,30.9375,4.326266403198242,36.0
9,4.322922658920288,35.6875,3.881293315887451,37.75
10,3.799915804862976,38.8125,3.5839030361175537,40.0
11,3.381817269325256,41.0,3.322176761627197,39.75
12,2.986997489929199,42.875,3.061236982345581,41.75
13,2.7030758357048033,45.4375,2.8748668384552003,43.5
14,2.474518554210663,47.75,2.6987192153930666,44.75
15,2.277964687347412,49.0625,2.5368126583099366,47.5
16,2.1077906584739683,51.625,2.4802328872680666,48.5
17,1.9551371073722839,53.75,2.386232376098633,49.5
18,1.8443415713310243,54.5625,2.317262568473816,51.25
19,1.7793990087509155,55.9375,2.2748619985580443,50.5
20,1.6421420669555664,57.375,2.1970750999450686,53.5
21,1.544979259967804,59.9375,2.1970833110809327,53.25
22,1.5391207695007325,58.5,2.1483933877944947,53.75
23,1.4551789104938506,63.0,2.091928448677063,54.25
24,1.3189871257543564,63.75,2.077108173370361,53.75
25,1.2452743017673493,65.3125,2.020258378982544,56.0
26,1.2545996725559234,66.125,1.9768495655059815,56.0
27,1.148085469007492,68.5,1.9805672359466553,56.5
28,1.118764456510544,69.375,1.9453743267059327,55.0
29,1.0738058167695999,69.375,1.954768452644348,56.25
30,1.0584766513109207,69.4375,1.933344964981079,58.0
31,1.0156071627140044,69.9375,1.9302446842193604,57.25
32,0.9710109835863113,71.8125,1.903575530052185,57.5
33,0.9187157070636749,73.6875,1.8841315984725953,57.75
34,0.8499513387680053,74.5625,1.8708335781097412,59.0
35,0.8801432675123215,74.25,1.8795382738113404,59.5
36,0.82551016330719,74.3125,1.8690720462799073,58.75
37,0.8363340073823928,75.0625,1.8456759834289551,59.5
38,0.7769385886192322,77.1875,1.8087896966934205,61.0
39,0.7605221861600876,76.8125,1.81208899974823,59.0
40,0.7337679594755173,77.6875,1.782177906036377,60.5
41,0.6669755476713181,79.0625,1.8249137449264525,60.5
42,0.6697997739911079,78.3125,1.8104894161224365,61.0
43,0.6188123989105224,81.1875,1.8104811143875121,60.5
44,0.6164922198653221,80.875,1.8316935253143312,60.25
45,0.5954098737239838,81.25,1.7969177293777465,61.25
46,0.58627859801054,81.875,1.7993661165237427,61.25
47,0.5454483705759049,82.25,1.8317977094650268,61.75
48,0.563037201166153,82.875,1.8056177234649657,62.25
49,0.5106289339065552,83.875,1.7715414381027221,63.0
50,0.5262193271517753,83.125,1.7487214183807374,62.75
