epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,45.526071090698245,1.5625,23.025909729003907,2.75
2,27.79762985229492,3.1875,16.213426971435545,5.5
3,20.57705987930298,6.0,12.360174293518066,8.25
4,15.309346714019775,11.5,9.361336688995362,18.0
5,11.985278978347779,18.375,7.597458457946777,22.75
6,9.517399978637695,23.8125,6.461030044555664,29.75
7,7.835009689331055,27.5625,5.5791659164428715,33.25
8,6.180408601760864,31.5,4.954229669570923,34.0
9,5.192570204734802,35.5,4.472262659072876,36.5
10,4.489785537719727,39.25,4.148081369400025,38.25
11,3.9611038303375246,41.75,3.757903690338135,38.25
12,3.4296137714385986,43.6875,3.4173514604568482,40.75
13,3.10034957408905,46.5625,3.2395957326889038,40.75
14,2.8245299100875854,47.875,2.9771541786193847,43.0
15,2.5908658933639526,50.125,2.907071330547333,45.0
16,2.415023002624512,50.75,2.7890223383903505,45.5
17,2.268953366279602,52.375,2.6744860339164735,47.5
18,2.1185245275497437,52.5625,2.6038796281814576,44.75
19,1.988715329170227,56.25,2.509493727684021,49.25
20,1.898335325717926,54.9375,2.454474837779999,49.25
21,1.787783842086792,56.875,2.386187391281128,49.75
22,1.6723722422122955,57.8125,2.3498574924468993,48.0
23,1.6353614461421966,60.75,2.2717803144454956,50.5
24,1.498722379207611,61.75,2.266379961967468,51.0
25,1.4783761942386626,61.8125,2.244930536746979,50.75
26,1.4051275205612184,63.3125,2.216592638492584,53.5
27,1.3556764721870422,64.3125,2.190757248401642,52.5
28,1.3099191987514496,65.6875,2.1448687624931337,54.0
29,1.2310400170087814,66.4375,2.1153936195373535,54.0
30,1.234688982963562,66.1875,2.107330095767975,53.75
31,1.1771674799919127,67.625,2.07802033662796,53.75
32,1.1088719427585603,68.5,2.0409037828445435,55.25
33,1.1340307414531707,68.3125,2.064693260192871,54.75
34,1.0428533309698105,70.0,2.022961378097534,54.5
35,0.9945414966344833,71.3125,2.0253180265426636,56.75
36,0.9605141347646713,72.5,1.9955443620681763,56.5
37,0.9290082532167435,72.0,1.9931168389320373,54.75
38,0.8522953057289123,75.1875,1.9995363545417786,57.0
39,0.9154909920692443,74.625,1.9510062527656555,55.75
40,0.8369938915967942,75.5,1.935892391204834,57.25
41,0.838939464688301,74.875,1.938478856086731,57.75
42,0.7866438680887222,76.3125,1.9080744767189026,59.25
43,0.7876252752542495,76.8125,1.920203025341034,58.75
44,0.7200209957361221,77.8125,1.9350221848487854,58.25
45,0.7084636569023133,78.0,1.9199538183212281,58.5
46,0.7281618729233742,77.25,1.9430460214614869,58.75
47,0.6476424086093903,79.875,1.9408734488487243,57.75
48,0.6328417629003524,80.3125,1.8971738386154176,59.0
49,0.6560644274950027,78.625,1.9004408121109009,58.5
50,0.608963942527771,80.375,1.8747314596176148,58.5
