epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,3.8046196842193605,13.375,3.667833099365234,33.5
2,3.542633695602417,46.6875,3.40889612197876,53.0
3,3.2478108739852907,57.25,3.128138370513916,59.0
4,2.937707290649414,61.25,2.815948314666748,59.0
5,2.6241476345062256,64.125,2.5422114753723144,60.5
6,2.3424479484558107,66.75,2.282836036682129,66.5
7,2.0995078659057618,69.1875,2.0760263872146605,68.0
8,1.902105221748352,70.8125,1.9052515649795532,69.75
9,1.7293566298484802,72.8125,1.7476322078704833,72.5
10,1.585793685913086,75.0,1.6184172630310059,73.0
11,1.4626686954498291,77.5625,1.5246372175216676,73.25
12,1.3612823486328125,76.6875,1.4318706703186035,77.0
13,1.2684901475906372,78.25,1.3521128129959106,77.5
14,1.1982954728603363,79.1875,1.2780978870391846,78.75
15,1.1198459124565125,80.0625,1.22523268699646,77.5
16,1.0595405864715577,81.125,1.1731776666641236,79.0
17,1.009045729637146,82.125,1.1241275000572204,79.5
18,0.96073761343956,82.75,1.0749587440490722,79.75
19,0.913663729429245,83.3125,1.0415557575225831,81.25
20,0.8789382088184357,84.375,1.012461977005005,81.75
21,0.8396444344520568,84.0625,0.9829969573020935,80.75
22,0.8081594693660736,85.25,0.9536416721343994,81.0
23,0.7748888146877289,85.9375,0.9238744878768921,81.5
24,0.7498012387752533,85.125,0.9019580674171448,82.25
25,0.7245599621534348,86.0,0.8819295406341553,81.0
26,0.6962581300735473,86.625,0.8633839416503907,81.5
27,0.6766250628232956,86.4375,0.8428167819976806,82.5
28,0.659551460146904,86.875,0.8256283569335937,81.5
29,0.6382852852344513,87.875,0.8104596757888793,82.0
30,0.6215074688196183,87.25,0.7937345743179322,82.0
31,0.6006896519660949,88.1875,0.7804374599456787,83.0
32,0.5862859469652176,88.25,0.7663335824012756,82.75
33,0.571242613196373,88.75,0.7522367072105408,84.0
34,0.5558698558807373,89.1875,0.7417394185066223,82.75
35,0.5421304175257683,89.3125,0.730478618144989,82.25
36,0.5319522339105606,89.5625,0.7315668153762818,83.0
37,0.5135225436091423,89.4375,0.7181560325622559,83.5
38,0.506287796497345,89.375,0.7040338897705078,84.0
39,0.4888873788714409,90.0625,0.6948712611198425,84.0
40,0.4797200930118561,90.375,0.6890972781181336,84.0
41,0.4754082369804382,90.1875,0.6891079902648926,83.0
42,0.4623597568273544,89.75,0.6848242425918579,83.5
43,0.4548146277666092,90.375,0.6758073711395264,83.5
44,0.45001337200403213,90.1875,0.6612964081764221,84.5
45,0.4310816007852554,90.875,0.6653976631164551,84.25
46,0.42827261835336683,91.0,0.6542955803871154,84.75
47,0.42104836225509645,90.625,0.6495224070549012,84.5
48,0.41421268224716185,90.75,0.6497914528846741,84.25
49,0.40213417828083037,90.75,0.6347021508216858,84.5
50,0.39694012701511383,91.5625,0.6307009363174438,83.75
