epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,2.919934892654419,44.8125,1.8400652742385863,63.75
2,1.2583330857753754,74.5625,1.0614063215255738,74.25
3,0.7771859186887741,82.9375,0.8454513597488403,77.25
4,0.5872425377368927,86.3125,0.728511004447937,80.25
5,0.4882511085271835,88.0625,0.6781818723678589,79.75
6,0.42567732781171796,89.0,0.6490582180023193,82.25
7,0.3638397043943405,91.0625,0.6166137361526489,83.75
8,0.3198185697197914,92.25,0.6146202945709228,83.0
9,0.29431654036045074,92.375,0.617998948097229,82.5
10,0.25385398671031,93.75,0.5527313733100891,86.0
11,0.22449868977069853,94.4375,0.5540303874015808,85.0
12,0.21516468062996863,95.125,0.5661197876930237,85.0
13,0.19269609577953817,95.4375,0.5799386811256408,85.5
14,0.16983055211603643,95.6875,0.5885921359062195,84.25
15,0.15804689399898053,96.5625,0.5826818203926086,83.5
16,0.13942034527659417,96.875,0.5614815640449524,85.0
17,0.1324481876939535,97.625,0.5732162046432495,84.25
18,0.12512522146105767,97.75,0.5577282166481018,85.5
19,0.11127708368003368,97.8125,0.598867130279541,83.5
20,0.10164460960775613,98.4375,0.5994839239120483,84.25
21,0.09969931185245513,98.3125,0.599411494731903,84.75
22,0.09371592909097672,98.375,0.5830913734436035,85.5
23,0.08334496937692165,98.8125,0.5771853113174439,86.5
24,0.07258427035063506,98.9375,0.600398461818695,85.25
25,0.07367603087797761,98.9375,0.6074454712867737,84.5
26,0.0669640426337719,99.0,0.6134528231620788,85.0
27,0.06480972476303577,99.3125,0.5970697355270386,85.75
28,0.06497987780719995,98.8125,0.6027675247192383,85.5
29,0.05810521550476551,99.3125,0.6159545373916626,85.5
30,0.05791400328278542,99.125,0.6231963944435119,85.25
31,0.04925409817602486,99.625,0.6192990636825562,86.25
32,0.04525460851378739,99.6875,0.6580952334403992,84.0
33,0.04330415077507496,99.625,0.6286939835548401,86.75
34,0.04288726175203919,99.5,0.6218819904327393,84.75
35,0.039396756943315264,99.625,0.6220287728309631,86.5
36,0.03654900972731411,99.5,0.6381162548065186,85.25
37,0.030183657482266427,99.75,0.6708924722671509,85.75
38,0.033876239135861394,99.8125,0.6683657383918762,85.5
39,0.02920736919157207,99.6875,0.686109881401062,85.75
40,0.037590004522353414,99.5,0.6701957440376282,84.75
41,0.033208925910294056,99.4375,0.6593294739723206,85.0
42,0.02805280450731516,99.6875,0.7229904246330261,85.25
43,0.02437305820174515,99.9375,0.680401394367218,84.75
44,0.022829555072821677,100.0,0.6829209280014038,85.0
45,0.020525219645351173,99.875,0.7041713953018188,86.0
46,0.020353784747421742,99.9375,0.6889995789527893,86.75
47,0.01689789426513016,100.0,0.6782283759117127,87.0
48,0.018580249845981597,99.875,0.6783037972450257,85.5
49,0.016640143441036342,99.9375,0.6983870697021485,85.25
50,0.01761108435690403,99.875,0.705010154247284,86.75
