variant,final_segment_mean,final_segment_std,final_clip_mean,final_clip_std,best_clip_mean,best_clip_std,mean_best_epoch
short,0.47683333333333333,0.025788192340633932,0.658,0.026004807247891674,0.6685,0.029079632047190676,226.0
long,0.5502083333333333,0.03093451865545097,0.6345000000000001,0.027579430741043184,0.6495,0.021965882636488823,94.8
